ID	Cote	Date_categorie	Datation	Contenu	Lien à la page	Ecriture	Formalité	Nombre de lignes par page complète	Nombre de colonnes	Gallica
502	CARPENTRAS, Bibliothèque municipale, 0059	15 (3/3)	1485-1490	Heures	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=15653&VUE_ID=1396771	Cursiva	Formata	26	1	
1085	CHANTILLY, Bibliothèque du château, Bernier-I-E-009	17	17e s. (1619)	Heures de la Vierge, latin et français						
1384	CHARTRES, Musée des Beaux-Arts, inv. 11204	16 (1/3)	1510-1520 ?)	Heures (fragment), miniature : Saint jean à Patmos et apparition de la Vierge						
1828	PARIS, Bibliothèque nationale de France, Bibliothèque de l'Arsenal, 414	15	14..							oo
1040	RENNES, Bibliothèque municipale, 1696	14 (3/3)	1398)	Heures à l'usage de Rennes	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=5236&VUE_ID=1122511	Textualis	Formata	13	1	
275	ROCHELLE (LA), Bibliothèque municipale, 0787	16 (1/3)	1501-1515	"Heures ; Prière à Jesus Christ, en prose ; etc."						
704	SETE, Bibliothèque municipale, 01	15	1401-1500	Heures						
981	STRASBOURG, Bibliothèque du Grand Séminaire, 0739	15	1401-1500	Heures à l'usage de Toul	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=2674&VUE_ID=673658	Textualis	Formata	15	1	
707	NARBONNE, Bibliothèque municipale, 002	16	1501-1600	Heures						
1180	PARIS, Bibliothèque de l'Ecole des Beaux-Arts, Ms. 0483	0								oo
1048	CAMBRAI, Archives diocésaines, ms. non côté [1]	15 (2/3)	1451-1475	Heures à l'usage de Rome	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=930&VUE_ID=346621	Textualis	Formata	18	1	
219	DOUAI, Bibliothèque municipale, 0184	15 (2/3)	1451-1475	Quinze joies Notre Dame, en prose. Heures, prières en français	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=10866&VUE_ID=1303023	Textualis	Formata	16	1	
221	DOUAI, Bibliothèque municipale, 0190	15 (2/3)	1440-1460	"Heures, calendrier en français ; Quinze joies Notre Dame, en prose ; etc."	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=10872&VUE_ID=1303214	Textualis	Formata	15	1	
581	DOUAI, Bibliothèque municipale, 0191	15 (3/3)	1467-1500	Heures	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=10873&VUE_ID=1303233	Textualis	Libraria	15	1	
1386	FECAMP, Musée de la Bénédictine, A.10.013	15	1401-1500	Heures avec calendrier flamand (Bruges)						
1096	METZ, Bibliothèque municipale, 1254	15 (3/3)	1480-1500	Heures						
439	NANTES, Bibliothèque municipale, 0023 (lat. 0023)	15	1401-1500	Heures, calendrier en français						
474	NANTES, Musée Dobrée, 0013	15 (2/2)	1451-1500	Heures à l'usage de Paris	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=4323&VUE_ID=953827	Textualis	Formata	16	1	
1076	PARIS, Musée de Cluny, Cl. 22716 a	15-16	1500 circa)	Heures (fragment) : Mois de mai, juin	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=16236&VUE_ID=1409371	Textualis	Formata		2	
